ctrlcoarse ,fVCO_AVG
103.0,4.75450068443E9
104.0,4.81541654718E9
105.0,4.87603126042E9
106.0,4.93627007739E9
107.0,4.99626268156E9
108.0,5.05583744061E9
109.0,5.11512837205E9
110.0,5.17410304284E9
111.0,5.23274663851E9
112.0,4.56975184851E9
113.0,4.63164290906E9
114.0,4.69326482981E9
115.0,4.75450068431E9
116.0,4.81541654705E9
117.0,4.87603126029E9
118.0,4.93627007726E9
119.0,4.99626268143E9
120.0,5.05583744048E9
121.0,5.11512837192E9
122.0,5.17410304271E9
123.0,5.23274663839E9
124.0,5.29110872365E9
125.0,5.34914725444E9
126.0,5.40690080097E9
127.0,5.46429747046E9
128.0,4.81541654692E9
129.0,4.87603126016E9
130.0,4.93627007713E9
131.0,4.99626268130E9
132.0,5.05583744036E9
133.0,5.11512837179E9
134.0,5.17410304259E9
135.0,5.23274663826E9
136.0,5.29110872352E9
137.0,5.34914725431E9
138.0,5.40690080084E9
139.0,5.46429747033E9
140.0,5.52147165476E9
141.0,5.57826401515E9
142.0,5.63477333713E9
143.0,5.69103798305E9
144.0,5.05583744023E9
145.0,5.11512837167E9
146.0,5.17410304246E9
147.0,5.23274663813E9
148.0,5.29110872340E9
149.0,5.34914725419E9
150.0,5.40690080072E9
151.0,5.46429747021E9
152.0,5.52147165464E9
153.0,5.57826401503E9
154.0,5.63477333701E9
155.0,5.69103798293E9
156.0,5.74699038421E9
157.0,5.80265163348E9
158.0,5.85799849094E9
159.0,5.91310304979E9
160.0,5.29110872327E9
161.0,5.34914725406E9
162.0,5.40690080059E9
163.0,5.46429747008E9
164.0,5.52147165452E9
165.0,5.57826401491E9
166.0,5.63477333689E9
167.0,5.69103798280E9
168.0,5.74699038409E9
169.0,5.80265163335E9
170.0,5.85799849082E9
171.0,5.91310304967E9
172.0,5.96788585886E9
173.0,6.02241771242E9
174.0,6.07664809065E9
175.0,6.13061787471E9
176.0,5.52147165439E9
177.0,5.57826401478E9
178.0,5.63477333676E9
179.0,5.69103798268E9
180.0,5.74699038397E9
181.0,5.80265163323E9
182.0,5.85799849071E9
183.0,5.91310304955E9
184.0,5.96788585874E9
185.0,6.02241771230E9
186.0,6.07664809053E9
